age,workclass,education,marital_status,occupation,race,sex,hours_per_week,capital_gain,capital_loss,native_country,income
47,Private,10th Grade,Married-spouse-absent,Tech-support,Black,Male,85,5153,553,Germany,<=50K
56,Self-emp-inc,11th Grade,Married-spouse-absent,Sales,Asian-Pac-Islander,Female,29,1901,3040,Germany,>50K
48,Self-emp-not-inc,10th Grade,Never-married,Exec-managerial,Asian-Pac-Islander,Female,72,7185,2460,Canada,<=50K
19,Self-emp-inc,10th Grade,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Female,67,7250,3218,Canada,<=50K
29,Self-emp-inc,HS Graduate,Widowed,Exec-managerial,Black,Female,15,8165,3202,Philippines,>50K
56,Federal-gov,10th Grade,Divorced,Sales,White,Female,8,976,2748,Philippines,<=50K
83,Private,10th Grade,Widowed,Sales,White,Female,90,4946,2000,Germany,<=50K
30,Federal-gov,Masters,Divorced,Exec-managerial,Black,Female,79,1422,2760,Mexico,>50K
63,Self-emp-inc,Doctorate,Separated,Other-service,Black,Female,17,9397,783,Mexico,>50K
44,State-gov,Doctorate,Never-married,Craft-repair,Other,Female,65,1472,2103,Germany,>50K
34,Local-gov,Masters,Married-civ-spouse,Craft-repair,Other,Female,26,4129,726,Canada,>50K
77,Private,Doctorate,Married-civ-spouse,Sales,Amer-Indian-Eskimo,Female,48,1858,939,United-States,>50K
81,Private,HS Graduate,Never-married,Other-service,Other,Male,83,773,3108,Germany,<=50K
52,State-gov,11th Grade,Married-spouse-absent,Prof-specialty,Black,Male,91,9332,2092,United-States,<=50K
87,Self-emp-inc,10th Grade,Married-spouse-absent,Other-service,Black,Male,78,8724,954,Mexico,>50K
47,Federal-gov,10th Grade,Married-civ-spouse,Other-service,Black,Female,56,6980,718,Canada,<=50K
88,State-gov,Some College,Widowed,Tech-support,White,Male,63,7400,117,United-States,>50K
80,Local-gov,HS Graduate,Married-civ-spouse,Tech-support,Black,Female,14,967,2332,Philippines,>50K
45,Self-emp-not-inc,10th Grade,Never-married,Exec-managerial,White,Female,73,6478,474,Germany,>50K
77,Federal-gov,Bachelors,Married-spouse-absent,Other-service,White,Female,64,3081,2284,Mexico,<=50K
54,Private,11th Grade,Separated,Craft-repair,White,Female,27,9148,3383,United-States,>50K
39,State-gov,Bachelors,Married-spouse-absent,Prof-specialty,Other,Male,88,4589,568,Philippines,>50K
85,Federal-gov,Masters,Never-married,Tech-support,Asian-Pac-Islander,Female,31,8302,115,United-States,<=50K
37,Self-emp-not-inc,Bachelors,Never-married,Sales,Black,Male,41,1937,4725,United-States,<=50K
85,Local-gov,Doctorate,Divorced,Sales,White,Male,49,3853,1492,Canada,<=50K
81,State-gov,Doctorate,Married-civ-spouse,Other-service,Black,Female,7,316,2180,Canada,>50K
34,Local-gov,11th Grade,Married-civ-spouse,Prof-specialty,Other,Female,56,7812,3081,Canada,>50K
29,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Black,Female,28,6596,3643,United-States,>50K
39,Self-emp-not-inc,Bachelors,Widowed,Exec-managerial,Asian-Pac-Islander,Female,78,6856,1827,Philippines,<=50K
34,Self-emp-inc,10th Grade,Widowed,Other-service,Asian-Pac-Islander,Male,78,8794,2463,Germany,>50K
27,Private,11th Grade,Married-spouse-absent,Sales,Black,Male,30,2796,3992,Canada,>50K
82,Self-emp-inc,10th Grade,Divorced,Sales,Black,Male,32,4904,3657,Mexico,>50K
39,Federal-gov,11th Grade,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,75,2678,300,Philippines,<=50K
67,Self-emp-not-inc,Some College,Widowed,Tech-support,White,Female,42,411,3957,Philippines,<=50K
31,Self-emp-inc,11th Grade,Widowed,Exec-managerial,White,Male,20,1759,4280,Canada,<=50K
81,Private,Bachelors,Separated,Craft-repair,White,Male,17,7651,4099,Germany,<=50K
64,Private,HS Graduate,Widowed,Prof-specialty,White,Male,18,1209,3191,Canada,<=50K
46,Self-emp-not-inc,10th Grade,Married-civ-spouse,Sales,Amer-Indian-Eskimo,Male,1,2938,811,United-States,>50K
53,State-gov,Masters,Separated,Craft-repair,White,Female,54,8861,470,Germany,>50K
69,Self-emp-inc,10th Grade,Separated,Sales,Amer-Indian-Eskimo,Female,60,4097,4710,Germany,>50K
24,Local-gov,Masters,Married-spouse-absent,Sales,White,Female,97,9542,760,United-States,<=50K
46,Self-emp-not-inc,Doctorate,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Male,64,478,3952,Philippines,>50K
28,Federal-gov,11th Grade,Divorced,Sales,White,Male,9,8187,983,Canada,>50K
50,Self-emp-inc,Some College,Never-married,Prof-specialty,White,Male,75,7150,538,Germany,<=50K
23,Self-emp-inc,10th Grade,Widowed,Sales,Asian-Pac-Islander,Male,38,1645,4766,Canada,<=50K
49,Self-emp-not-inc,11th Grade,Married-spouse-absent,Sales,Other,Female,67,8784,3706,Canada,<=50K
68,State-gov,HS Graduate,Divorced,Sales,Asian-Pac-Islander,Female,40,7736,4384,Canada,<=50K
75,Self-emp-inc,10th Grade,Never-married,Other-service,Other,Female,78,4957,947,United-States,>50K
43,Self-emp-inc,Doctorate,Married-civ-spouse,Other-service,Black,Male,4,6910,2976,Mexico,<=50K
63,Federal-gov,10th Grade,Widowed,Prof-specialty,Amer-Indian-Eskimo,Male,87,8618,3246,Canada,>50K
46,State-gov,Doctorate,Divorced,Prof-specialty,Other,Male,12,3246,4375,Germany,>50K
21,Federal-gov,11th Grade,Never-married,Craft-repair,Other,Female,38,479,4658,Germany,>50K
30,Local-gov,Some College,Married-spouse-absent,Craft-repair,Asian-Pac-Islander,Male,55,9846,2175,United-States,>50K
56,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,95,1531,4654,Mexico,>50K
32,Local-gov,HS Graduate,Married-spouse-absent,Craft-repair,Black,Female,90,1513,2057,Germany,<=50K
46,Federal-gov,Some College,Separated,Exec-managerial,Amer-Indian-Eskimo,Male,30,2976,3330,Mexico,<=50K
46,Local-gov,Masters,Separated,Other-service,Amer-Indian-Eskimo,Female,32,8132,2051,Mexico,<=50K
49,State-gov,11th Grade,Separated,Prof-specialty,White,Male,37,9426,2296,Germany,<=50K
19,Federal-gov,HS Graduate,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,81,2587,641,Philippines,>50K
64,Federal-gov,HS Graduate,Never-married,Tech-support,Amer-Indian-Eskimo,Male,19,6242,3774,Mexico,<=50K
39,Self-emp-not-inc,Bachelors,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Female,14,3566,1142,Philippines,<=50K
44,Federal-gov,11th Grade,Separated,Tech-support,Black,Male,68,7492,4231,United-States,>50K
84,Local-gov,11th Grade,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,76,453,4878,United-States,>50K
73,Self-emp-not-inc,10th Grade,Widowed,Craft-repair,Black,Male,7,9238,157,United-States,>50K
38,Local-gov,Doctorate,Never-married,Sales,Black,Female,4,1693,3614,United-States,<=50K
64,Federal-gov,Some College,Married-spouse-absent,Exec-managerial,Other,Male,36,3347,3688,Philippines,>50K
76,Federal-gov,Doctorate,Widowed,Other-service,Other,Female,4,838,1225,Mexico,<=50K
23,Local-gov,10th Grade,Married-spouse-absent,Craft-repair,Black,Female,53,5068,2902,Mexico,>50K
36,State-gov,10th Grade,Separated,Exec-managerial,Amer-Indian-Eskimo,Male,1,2496,1404,Mexico,>50K
74,State-gov,11th Grade,Never-married,Other-service,Other,Female,85,2860,3461,Mexico,>50K
86,State-gov,Doctorate,Widowed,Prof-specialty,Amer-Indian-Eskimo,Female,33,5121,608,Mexico,>50K
20,Self-emp-inc,Some College,Married-civ-spouse,Exec-managerial,White,Male,36,3281,4394,Canada,>50K
18,Self-emp-not-inc,11th Grade,Divorced,Exec-managerial,Asian-Pac-Islander,Female,2,3806,107,Philippines,<=50K
75,Self-emp-not-inc,Some College,Married-spouse-absent,Other-service,Asian-Pac-Islander,Male,43,9787,3835,Germany,<=50K
55,State-gov,Some College,Married-civ-spouse,Exec-managerial,Other,Male,4,8657,3967,Canada,<=50K
32,Federal-gov,Bachelors,Separated,Tech-support,Asian-Pac-Islander,Male,37,1783,216,Canada,<=50K
51,Self-emp-not-inc,Bachelors,Divorced,Tech-support,Amer-Indian-Eskimo,Male,9,3824,2144,United-States,>50K
78,Local-gov,Some College,Married-spouse-absent,Prof-specialty,Asian-Pac-Islander,Male,28,8436,72,Canada,>50K
52,Federal-gov,10th Grade,Never-married,Exec-managerial,White,Female,11,6829,640,Germany,<=50K
81,Self-emp-not-inc,Doctorate,Married-spouse-absent,Craft-repair,Black,Female,46,2262,3353,United-States,>50K
42,Private,Bachelors,Divorced,Sales,Asian-Pac-Islander,Male,84,8463,451,Mexico,>50K
41,Self-emp-not-inc,Some College,Married-spouse-absent,Prof-specialty,Other,Female,77,6407,3639,Mexico,>50K
29,State-gov,Doctorate,Married-spouse-absent,Other-service,Black,Male,66,512,3796,United-States,>50K
35,Local-gov,Some College,Never-married,Craft-repair,Amer-Indian-Eskimo,Female,13,8066,4942,United-States,>50K
32,Self-emp-not-inc,Doctorate,Widowed,Prof-specialty,Black,Male,3,1022,1401,Germany,>50K
44,Self-emp-inc,Masters,Married-spouse-absent,Sales,Amer-Indian-Eskimo,Male,1,5681,4315,Philippines,>50K
89,State-gov,Bachelors,Widowed,Other-service,Other,Female,83,7890,1568,Philippines,>50K
77,Self-emp-inc,Bachelors,Married-spouse-absent,Sales,Other,Male,87,312,3337,Germany,>50K
63,Federal-gov,11th Grade,Married-spouse-absent,Prof-specialty,Other,Female,54,8147,3584,Canada,<=50K
34,Self-emp-inc,Some College,Widowed,Other-service,Amer-Indian-Eskimo,Female,54,6461,1065,Germany,<=50K
70,Local-gov,11th Grade,Widowed,Tech-support,White,Male,65,9456,353,United-States,<=50K
25,Private,Some College,Married-spouse-absent,Craft-repair,Black,Male,44,4943,169,United-States,>50K
44,Private,HS Graduate,Widowed,Sales,Black,Female,30,1798,1228,Mexico,<=50K
63,Federal-gov,Doctorate,Divorced,Tech-support,Amer-Indian-Eskimo,Female,95,4876,915,Germany,<=50K
67,Federal-gov,Some College,Never-married,Craft-repair,Black,Male,65,4628,4500,Mexico,>50K
88,Self-emp-inc,10th Grade,Widowed,Exec-managerial,Other,Female,43,3467,10,Mexico,<=50K
20,Local-gov,11th Grade,Widowed,Craft-repair,Asian-Pac-Islander,Female,70,3546,2674,Philippines,<=50K
81,Self-emp-inc,11th Grade,Never-married,Craft-repair,Black,Male,75,2447,835,Canada,<=50K
61,Local-gov,HS Graduate,Divorced,Tech-support,Asian-Pac-Islander,Female,69,5906,786,Canada,>50K
70,Local-gov,HS Graduate,Married-spouse-absent,Tech-support,Other,Male,84,2680,2147,Germany,>50K
41,Private,Doctorate,Widowed,Prof-specialty,Black,Male,25,7006,1202,Philippines,>50K
77,Local-gov,HS Graduate,Married-spouse-absent,Sales,Black,Male,88,1196,4557,Canada,<=50K
20,Self-emp-not-inc,Bachelors,Married-spouse-absent,Sales,Asian-Pac-Islander,Female,42,8142,515,Canada,>50K
37,Local-gov,11th Grade,Divorced,Exec-managerial,White,Female,90,7956,4768,Canada,>50K
63,Private,10th Grade,Widowed,Tech-support,Amer-Indian-Eskimo,Male,16,2194,2636,Mexico,<=50K
32,State-gov,Doctorate,Divorced,Prof-specialty,White,Female,46,3647,2138,United-States,>50K
42,Self-emp-inc,Bachelors,Married-spouse-absent,Tech-support,Amer-Indian-Eskimo,Female,22,224,402,United-States,<=50K
88,Local-gov,Masters,Separated,Craft-repair,Black,Male,59,2899,4010,United-States,<=50K
34,Self-emp-not-inc,10th Grade,Widowed,Craft-repair,Black,Female,59,55,1572,Mexico,>50K
26,Federal-gov,HS Graduate,Widowed,Prof-specialty,White,Male,74,5241,1176,United-States,>50K
55,Self-emp-inc,Some College,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Female,12,3100,2698,Mexico,>50K
65,Federal-gov,Bachelors,Married-spouse-absent,Craft-repair,White,Male,29,2801,3526,Canada,>50K
77,Self-emp-not-inc,Doctorate,Married-spouse-absent,Craft-repair,Asian-Pac-Islander,Male,30,4441,4452,Mexico,<=50K
80,Private,Some College,Married-civ-spouse,Sales,Other,Female,49,4865,2831,United-States,<=50K
19,State-gov,Masters,Married-civ-spouse,Exec-managerial,Black,Male,50,959,294,Mexico,<=50K
89,Private,HS Graduate,Married-spouse-absent,Sales,White,Male,76,6868,4176,Philippines,>50K
28,State-gov,HS Graduate,Married-spouse-absent,Prof-specialty,White,Female,89,2681,2486,Mexico,<=50K
81,Self-emp-inc,10th Grade,Married-spouse-absent,Exec-managerial,Black,Male,14,286,3323,United-States,<=50K
89,Local-gov,11th Grade,Divorced,Sales,Amer-Indian-Eskimo,Female,88,8665,2543,United-States,>50K
38,Local-gov,11th Grade,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,63,5259,542,Germany,<=50K
35,Federal-gov,10th Grade,Divorced,Exec-managerial,White,Male,54,7130,4243,Germany,>50K
81,Private,11th Grade,Widowed,Craft-repair,Black,Male,4,5442,561,Canada,<=50K
55,Local-gov,Doctorate,Widowed,Other-service,White,Male,41,138,3015,Philippines,<=50K
49,State-gov,10th Grade,Married-spouse-absent,Tech-support,Amer-Indian-Eskimo,Male,48,8412,4833,Germany,<=50K
28,Local-gov,10th Grade,Separated,Exec-managerial,Asian-Pac-Islander,Male,79,1255,188,United-States,<=50K
62,Private,Some College,Separated,Other-service,Asian-Pac-Islander,Male,36,2071,2144,Germany,>50K
50,Private,HS Graduate,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,64,6382,3436,Germany,<=50K
58,Self-emp-not-inc,11th Grade,Married-spouse-absent,Prof-specialty,Amer-Indian-Eskimo,Female,11,1534,1793,United-States,<=50K
25,Federal-gov,HS Graduate,Married-spouse-absent,Craft-repair,White,Male,69,4905,3245,Germany,<=50K
28,Private,10th Grade,Widowed,Sales,Black,Male,71,9174,837,Germany,<=50K
68,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Black,Female,44,392,1678,Philippines,<=50K
58,Private,10th Grade,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,77,9671,4430,Mexico,>50K
34,Self-emp-inc,11th Grade,Separated,Sales,White,Male,91,3577,1267,Philippines,>50K
63,State-gov,11th Grade,Never-married,Craft-repair,Other,Male,18,2010,1899,Philippines,>50K
49,State-gov,11th Grade,Divorced,Prof-specialty,Black,Male,93,5437,4240,United-States,>50K
71,Self-emp-inc,11th Grade,Married-spouse-absent,Exec-managerial,Black,Male,39,8555,3213,Canada,<=50K
37,Self-emp-inc,Some College,Never-married,Exec-managerial,White,Female,60,9393,2187,Canada,<=50K
50,Private,Doctorate,Married-civ-spouse,Sales,Black,Male,49,1558,1213,United-States,>50K
57,Local-gov,Some College,Married-civ-spouse,Craft-repair,Other,Male,42,8076,3287,United-States,>50K
49,Local-gov,11th Grade,Never-married,Exec-managerial,Amer-Indian-Eskimo,Male,39,442,1755,Canada,<=50K
19,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,15,145,129,Canada,<=50K
50,Federal-gov,10th Grade,Married-civ-spouse,Sales,Amer-Indian-Eskimo,Female,54,1241,469,Philippines,>50K
47,State-gov,Bachelors,Widowed,Other-service,Asian-Pac-Islander,Male,66,9700,2011,Germany,>50K
50,Self-emp-not-inc,Bachelors,Married-spouse-absent,Tech-support,Asian-Pac-Islander,Female,81,5008,1693,United-States,>50K
43,Self-emp-inc,Doctorate,Divorced,Craft-repair,Asian-Pac-Islander,Male,74,8661,1652,Germany,<=50K
39,State-gov,Bachelors,Separated,Prof-specialty,Amer-Indian-Eskimo,Male,74,4672,2770,Mexico,<=50K
83,Self-emp-not-inc,11th Grade,Married-spouse-absent,Prof-specialty,Other,Male,45,8918,4635,Canada,<=50K
55,Self-emp-not-inc,Bachelors,Widowed,Exec-managerial,Black,Male,67,6720,50,Mexico,<=50K
63,Self-emp-inc,Some College,Married-civ-spouse,Exec-managerial,Black,Male,25,1002,1779,Philippines,>50K
32,Local-gov,Masters,Separated,Exec-managerial,Other,Male,30,2921,3149,Mexico,>50K
61,Federal-gov,HS Graduate,Married-civ-spouse,Other-service,Black,Female,10,9441,3106,United-States,<=50K
66,State-gov,11th Grade,Married-spouse-absent,Prof-specialty,Other,Female,12,1741,3688,Canada,<=50K
78,Self-emp-inc,Bachelors,Divorced,Tech-support,Amer-Indian-Eskimo,Male,20,8988,3219,United-States,<=50K
84,Self-emp-not-inc,11th Grade,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,25,7142,2779,Germany,>50K
23,State-gov,Doctorate,Never-married,Craft-repair,Black,Female,16,1756,1162,Philippines,<=50K
26,Private,Masters,Never-married,Other-service,White,Male,76,3320,4931,United-States,<=50K
23,Private,10th Grade,Never-married,Exec-managerial,Amer-Indian-Eskimo,Female,40,668,1547,Canada,>50K
49,State-gov,HS Graduate,Never-married,Prof-specialty,Other,Female,75,737,50,Germany,<=50K
58,State-gov,11th Grade,Separated,Prof-specialty,Amer-Indian-Eskimo,Male,46,8251,2771,United-States,<=50K
25,Self-emp-not-inc,Masters,Married-spouse-absent,Prof-specialty,Asian-Pac-Islander,Male,36,7351,934,United-States,>50K
89,Self-emp-inc,Doctorate,Never-married,Tech-support,Asian-Pac-Islander,Male,30,9490,1571,Mexico,<=50K
67,Local-gov,Doctorate,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Male,84,183,2758,Philippines,<=50K
79,Self-emp-inc,Masters,Widowed,Tech-support,White,Male,65,3108,3118,United-States,>50K
79,Federal-gov,Bachelors,Married-civ-spouse,Sales,White,Female,56,2413,4956,United-States,<=50K
24,State-gov,Masters,Married-civ-spouse,Craft-repair,White,Male,50,4420,1055,Canada,>50K
21,Private,Some College,Married-civ-spouse,Exec-managerial,Amer-Indian-Eskimo,Male,9,8439,3081,Mexico,>50K
23,Self-emp-not-inc,Bachelors,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,12,7543,1104,Mexico,>50K
75,Local-gov,Bachelors,Widowed,Other-service,Black,Male,25,3659,1494,Mexico,>50K
39,Self-emp-inc,Masters,Never-married,Prof-specialty,Other,Male,67,4806,2005,Philippines,<=50K
43,Federal-gov,Doctorate,Divorced,Other-service,Black,Male,62,5686,2964,Mexico,<=50K
20,Self-emp-inc,10th Grade,Separated,Other-service,Amer-Indian-Eskimo,Female,19,8992,1611,United-States,>50K
58,Federal-gov,10th Grade,Widowed,Exec-managerial,Other,Female,76,3523,663,Germany,<=50K
77,Self-emp-inc,Masters,Widowed,Craft-repair,Amer-Indian-Eskimo,Male,64,8722,2769,Philippines,<=50K
31,Local-gov,11th Grade,Widowed,Exec-managerial,Asian-Pac-Islander,Female,19,1771,365,Canada,<=50K
29,Local-gov,Masters,Separated,Other-service,Other,Female,86,1175,2536,United-States,>50K
29,Self-emp-not-inc,10th Grade,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,56,1018,3419,United-States,<=50K
30,Local-gov,HS Graduate,Married-spouse-absent,Sales,Amer-Indian-Eskimo,Male,3,3802,607,Germany,>50K
42,Federal-gov,Masters,Separated,Craft-repair,Asian-Pac-Islander,Female,83,6252,4641,Germany,<=50K
62,Self-emp-not-inc,HS Graduate,Widowed,Sales,Black,Male,62,8450,472,Mexico,>50K
36,Local-gov,HS Graduate,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,98,3826,4400,United-States,>50K
72,Private,Some College,Widowed,Sales,Black,Male,20,2672,293,Mexico,>50K
62,Federal-gov,HS Graduate,Divorced,Sales,Black,Female,29,6761,1139,Canada,<=50K
25,Self-emp-not-inc,Doctorate,Never-married,Craft-repair,Asian-Pac-Islander,Female,89,1057,3430,Canada,<=50K
70,Federal-gov,10th Grade,Never-married,Prof-specialty,Amer-Indian-Eskimo,Male,35,6273,773,Mexico,<=50K
72,Self-emp-not-inc,10th Grade,Widowed,Exec-managerial,Asian-Pac-Islander,Female,43,7249,1520,Germany,>50K
49,Federal-gov,10th Grade,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,76,3693,311,Mexico,>50K
68,Private,Doctorate,Divorced,Tech-support,Black,Female,3,4953,1417,Canada,<=50K
61,Local-gov,10th Grade,Divorced,Sales,Other,Male,94,435,4155,Philippines,<=50K
87,Self-emp-inc,11th Grade,Married-spouse-absent,Craft-repair,White,Male,5,7375,972,Canada,<=50K
35,Self-emp-inc,10th Grade,Married-civ-spouse,Exec-managerial,White,Male,59,3800,664,United-States,>50K
39,Self-emp-inc,Masters,Married-civ-spouse,Craft-repair,White,Female,41,566,3871,Philippines,>50K
54,Self-emp-not-inc,11th Grade,Divorced,Tech-support,Black,Male,2,835,4262,Mexico,>50K
73,Local-gov,Bachelors,Never-married,Sales,Other,Female,30,6787,4770,United-States,>50K
76,State-gov,10th Grade,Never-married,Tech-support,Asian-Pac-Islander,Female,74,8706,2223,United-States,>50K
20,Self-emp-not-inc,Some College,Divorced,Tech-support,Amer-Indian-Eskimo,Male,30,9144,570,Mexico,>50K
45,Self-emp-not-inc,Bachelors,Separated,Sales,Asian-Pac-Islander,Male,97,3366,1491,Philippines,<=50K
52,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,White,Male,37,3563,4194,United-States,<=50K
78,State-gov,Doctorate,Widowed,Tech-support,Other,Male,72,9579,1226,Germany,<=50K
71,Self-emp-not-inc,Masters,Married-spouse-absent,Sales,Black,Female,69,7810,1114,Mexico,<=50K
80,Local-gov,HS Graduate,Separated,Sales,White,Male,32,2874,2808,United-States,>50K
24,Self-emp-inc,Masters,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Female,47,3271,2513,Philippines,<=50K
66,Federal-gov,Bachelors,Divorced,Exec-managerial,White,Male,90,2683,1914,Canada,>50K
48,Self-emp-not-inc,Doctorate,Divorced,Prof-specialty,Amer-Indian-Eskimo,Female,73,9434,1510,United-States,<=50K
75,Local-gov,11th Grade,Separated,Craft-repair,White,Male,17,1541,2879,United-States,<=50K
78,Private,Some College,Divorced,Craft-repair,Other,Male,28,387,1922,Canada,<=50K
41,Federal-gov,10th Grade,Widowed,Exec-managerial,Asian-Pac-Islander,Female,10,5513,555,Germany,>50K
37,Self-emp-not-inc,HS Graduate,Never-married,Tech-support,Black,Female,26,6591,2827,United-States,>50K
54,Self-emp-not-inc,11th Grade,Divorced,Exec-managerial,White,Female,60,2320,1806,United-States,<=50K
21,Federal-gov,10th Grade,Never-married,Prof-specialty,Black,Female,56,1868,535,Mexico,<=50K
37,Federal-gov,Bachelors,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,23,6626,3932,Germany,<=50K
77,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Amer-Indian-Eskimo,Female,14,7807,3216,Canada,<=50K
41,Local-gov,Some College,Divorced,Craft-repair,Asian-Pac-Islander,Male,62,6747,3759,Mexico,<=50K
67,Private,Doctorate,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,67,4965,4673,Germany,>50K
66,Local-gov,HS Graduate,Divorced,Tech-support,Other,Male,30,2298,2284,Philippines,>50K
68,State-gov,HS Graduate,Never-married,Exec-managerial,Asian-Pac-Islander,Female,40,3238,4581,Philippines,>50K
53,Self-emp-inc,Masters,Separated,Sales,Amer-Indian-Eskimo,Male,86,1964,4149,Mexico,>50K
83,Self-emp-inc,HS Graduate,Divorced,Sales,Asian-Pac-Islander,Female,67,1214,966,Philippines,<=50K
51,Self-emp-inc,Masters,Married-spouse-absent,Other-service,White,Male,19,6408,4621,Mexico,<=50K
53,Self-emp-not-inc,11th Grade,Separated,Sales,White,Male,98,7827,2671,Canada,>50K
23,Private,HS Graduate,Never-married,Exec-managerial,Black,Female,13,5703,1456,Mexico,>50K
56,Private,Masters,Never-married,Craft-repair,Other,Male,67,5484,4360,Canada,>50K
59,State-gov,10th Grade,Separated,Craft-repair,Black,Female,72,783,288,United-States,<=50K
75,Self-emp-not-inc,Doctorate,Married-spouse-absent,Tech-support,White,Male,51,2937,4104,Mexico,<=50K
29,Self-emp-not-inc,Doctorate,Divorced,Prof-specialty,Asian-Pac-Islander,Female,47,2100,1425,Canada,>50K
20,Self-emp-not-inc,Bachelors,Separated,Exec-managerial,Amer-Indian-Eskimo,Female,7,926,3726,Canada,<=50K
35,Private,Bachelors,Divorced,Sales,Amer-Indian-Eskimo,Female,71,2794,2243,United-States,<=50K
57,Self-emp-not-inc,HS Graduate,Married-spouse-absent,Sales,Other,Male,68,1145,628,Philippines,<=50K
38,Federal-gov,HS Graduate,Divorced,Exec-managerial,Asian-Pac-Islander,Female,68,5662,3848,Philippines,>50K
32,Federal-gov,11th Grade,Separated,Prof-specialty,Black,Male,41,9390,1060,Philippines,>50K
43,Federal-gov,Some College,Never-married,Craft-repair,Black,Female,48,1769,3095,Philippines,>50K
25,Self-emp-not-inc,Bachelors,Widowed,Sales,Asian-Pac-Islander,Female,18,1234,374,Germany,>50K
59,Federal-gov,10th Grade,Married-civ-spouse,Sales,White,Male,43,8572,2190,United-States,<=50K
61,State-gov,Some College,Widowed,Exec-managerial,Black,Male,36,6999,3971,Mexico,<=50K
31,Self-emp-not-inc,Masters,Never-married,Tech-support,Asian-Pac-Islander,Female,68,3183,2081,Canada,<=50K
19,State-gov,Masters,Married-civ-spouse,Exec-managerial,Amer-Indian-Eskimo,Female,87,6846,4757,United-States,<=50K
54,Federal-gov,11th Grade,Married-spouse-absent,Sales,Other,Male,95,4982,4077,Germany,<=50K
86,Self-emp-not-inc,Masters,Married-spouse-absent,Exec-managerial,Other,Male,96,9576,1252,Canada,<=50K
55,Local-gov,Doctorate,Separated,Exec-managerial,Other,Male,28,2916,958,Philippines,>50K
58,Self-emp-inc,Masters,Widowed,Tech-support,White,Male,96,3751,319,United-States,>50K
79,Local-gov,Bachelors,Divorced,Craft-repair,Other,Female,51,116,419,Canada,<=50K
77,Self-emp-inc,Doctorate,Never-married,Exec-managerial,Amer-Indian-Eskimo,Female,4,4047,4082,Canada,<=50K
31,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Black,Male,80,8081,3699,Canada,<=50K
19,Federal-gov,Some College,Married-spouse-absent,Prof-specialty,Other,Male,9,4180,946,Mexico,<=50K
87,Self-emp-inc,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,Male,86,7711,1702,Canada,>50K
34,Self-emp-inc,11th Grade,Married-spouse-absent,Tech-support,White,Female,90,2486,1123,Philippines,>50K
45,Local-gov,Some College,Widowed,Prof-specialty,White,Female,66,9713,4928,United-States,<=50K
83,Self-emp-inc,11th Grade,Divorced,Sales,Other,Female,52,4124,1827,Canada,<=50K
52,Self-emp-not-inc,Doctorate,Widowed,Other-service,Amer-Indian-Eskimo,Male,41,2082,1511,Mexico,<=50K
22,State-gov,Some College,Divorced,Other-service,White,Male,75,110,2799,Philippines,<=50K
82,State-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,15,5435,3097,Mexico,>50K
57,Self-emp-not-inc,HS Graduate,Separated,Sales,Amer-Indian-Eskimo,Female,92,9352,2340,Canada,>50K
73,Federal-gov,HS Graduate,Married-spouse-absent,Prof-specialty,White,Male,84,3758,779,Germany,>50K
53,Local-gov,10th Grade,Never-married,Sales,Amer-Indian-Eskimo,Male,67,553,4413,Mexico,>50K
62,Private,Masters,Divorced,Sales,White,Female,69,9748,1957,Mexico,<=50K
40,State-gov,Doctorate,Widowed,Craft-repair,White,Female,25,6930,569,Mexico,<=50K
64,Local-gov,10th Grade,Married-spouse-absent,Prof-specialty,Black,Male,37,7873,4976,Germany,>50K
48,State-gov,Bachelors,Married-spouse-absent,Craft-repair,Asian-Pac-Islander,Female,4,7874,4764,Philippines,<=50K
